longitude,latitude
-110.990809,32.209904
-110.989043,32.214233
-111.000296,32.212375
-111.007172,32.227677
-111.019475,32.209154
-111.016989,32.208937
-111.009105,32.21045
-111.009092,32.210396
-111.003095,32.215244
-110.987617,32.209711
-110.994551,32.210491
-110.996468,32.219542
-111.013131,32.219982
-111.006245,32.216248
-111.002372,32.217784
-110.997384,32.215902
-110.989965,32.208222
-110.988922,32.21479
-110.99434,32.208935
-111.001707,32.221228
-111.003279,32.216898
-111.010489,32.213153
-111.003591,32.212935
-111.006955,32.217088
-111.001526,32.215732
-111.00354,32.212966
-111.001826,32.210972
-110.999568,32.208573
-110.99339,32.206316
-110.990492,32.207527
-110.989419,32.208485
-110.989313,32.208366
-110.988298,32.209671
-110.98833,32.209661
-110.988747,32.21397
-110.990651,32.212904
-110.996407,32.208465
-110.996219,32.208151
-110.995797,32.206639
-110.99949,32.205727
-111.004536,32.208738
-111.006435,32.210909
-111.00622,32.211118
-111.007278,32.21133
-111.009328,32.211423
-111.012828,32.21222
-111.007401,32.210739
-111.007464,32.211478
-111.007507,32.211489
-111.007483,32.211516
-111.003454,32.213824
-111.005986,32.215663
-111.006227,32.216034
-111.006245,32.216028
-111.006267,32.216052
-111.006129,32.215744
-111.006115,32.215736
-111.007092,32.214684
-111.006718,32.21476
-111.008107,32.213177
-111.008182,32.213314
-111.008071,32.212913
-111.009594,32.212719
-111.012121,32.213034
-111.017636,32.217318
-111.0219,32.225718
-111.014078,32.226055
-111.014158,32.226035
-111.013549,32.226398
-111.011137,32.226132
-111.003783,32.228185
-111.003511,32.225271
-111.004842,32.22285
-111.003094,32.222416
-111.003006,32.222301
-111.001414,32.220036
-111.00361,32.217811
-111.003494,32.215559
-111.003469,32.215566
-111.003398,32.215664
-111.003424,32.213869
-111.00337,32.213781
-111.003482,32.213908000000004
-111.003009,32.214614
-111.003096,32.214812
-111.001751,32.212692
-110.996397,32.206429
-110.990379,32.206544
-110.988715,32.207997
-110.988753,32.208031
-110.987762,32.210297
-110.994078,32.218407
-110.99647,32.219502
-110.996479,32.219424
-110.997089,32.215718
-110.997405,32.213242
-110.999705,32.215334
-111.00225,32.217615
-111.005003,32.21971
-111.008606,32.216753
-111.008517,32.216737
-111.00862,32.216663
-111.008583,32.216692
-111.008239,32.215145
-111.006108,32.218057
-111.00287,32.218675
-111.003776,32.216587
-111.003287,32.214557
-111.003291,32.214591
-111.003284,32.214599
-111.00349,32.21313
-111.003699,32.213303
-111.007371,32.208805
-111.00806,32.208849
-111.007939,32.208739
-111.007287,32.206476
-111.007648,32.207802
-111.007466,32.208075
-110.998688,32.207081
-110.991153,32.20295
-110.989356,32.208407
-110.989434,32.208513
-110.986259,32.209039
-110.990844,32.211566
-110.990818,32.211494
-110.992682,32.211569
-110.995341,32.209788
-110.995658,32.209768
-110.995335,32.209958
-110.993813,32.210275
-110.991669,32.209399
-110.99084,32.208124
-110.992377,32.207292
-110.9967,32.209317
-110.995465,32.210716
-110.988888,32.214762
-110.990244,32.215303
-110.995465,32.217285
-110.996569,32.21601
-110.997902,32.215063
